import time: self [us] | cumulative | imported package
import time:       395 |        395 |   _io
import time:        46 |         46 |   marshal
import time:       336 |        336 |   posix
import time:       349 |       1124 | _frozen_importlib_external
import time:       750 |        750 |   time
import time:       121 |        871 | zipimport
import time:        89 |         89 | faulthandler
import time:       139 |        139 |     _codecs
import time:       312 |        450 |   codecs
import time:      3422 |       3422 |   encodings.aliases
import time:      3779 |       7651 | encodings
import time:      1123 |       1123 | encodings.utf_8
import time:       157 |        157 | _signal
import time:        54 |         54 |     _abc
import time:       165 |        218 |   abc
import time:       340 |        558 | io
import time:        69 |         69 |       _stat
import time:       139 |        207 |     stat
import time:      1113 |       1113 |     _collections_abc
import time:       208 |        208 |       genericpath
import time:       472 |        679 |     posixpath
import time:       687 |       2684 |   os
import time:       196 |        196 |   _sitebuiltins
import time:       803 |        803 |   encodings.utf_8_sig
import time:      2845 |       2845 |   _distutils_hack
import time:      1676 |       1676 |   types
import time:      1836 |       1836 |       warnings
import time:      1775 |       3610 |     importlib
import time:      2128 |       2128 |     importlib._abc
import time:       231 |       5967 |   importlib.util
import time:        84 |         84 |   importlib.machinery
import time:       167 |        167 |   sitecustomize
import time:     10142 |      24559 | site
import time:       109 |        109 |         _operator
import time:      1357 |       1465 |       operator
import time:       188 |        188 |           itertools
import time:      1666 |       1666 |           keyword
import time:      1437 |       1437 |           reprlib
import time:       153 |        153 |           _collections
import time:      2612 |       6055 |         collections
import time:       141 |        141 |         _functools
import time:      2209 |       8404 |       functools
import time:      2935 |      12803 |     enum
import time:       522 |        522 |       _sre
import time:      1009 |       1009 |         re._constants
import time:      1390 |       2398 |       re._parser
import time:       831 |        831 |       re._casefix
import time:      3162 |       6911 |     re._compiler
import time:      1226 |       1226 |     copyreg
import time:      2240 |      23178 |   re
import time:      2778 |       2778 |     collections.abc
import time:      1017 |       1017 |         token
import time:       101 |        101 |         _tokenize
import time:      2801 |       3917 |       tokenize
import time:      1377 |       5294 |     linecache
import time:      2240 |       2240 |     textwrap
import time:      1665 |       1665 |     contextlib
import time:      1985 |      13961 |   traceback
import time:      1311 |       1311 |     _weakrefset
import time:      1145 |       2456 |   weakref
import time:        54 |         54 |     _string
import time:      1748 |       1802 |   string
import time:      2901 |       2901 |   threading
import time:        66 |         66 |   atexit
import time:      4129 |      48491 | logging
import time:      1232 |       1232 |   __future__
import time:        82 |         82 |     _typing
import time:      4855 |       4937 |   typing
import time:       654 |        654 |           _json
import time:      1125 |       1779 |         json.scanner
import time:      1777 |       3555 |       json.decoder
import time:      1089 |       1089 |       json.encoder
import time:      1212 |       5855 |     json
import time:       556 |        556 |         _contextvars
import time:       799 |       1354 |       contextvars
import time:       257 |        257 |             errno
import time:      1643 |       1643 |               math
import time:      1503 |       1503 |               select
import time:      2526 |       5671 |             selectors
import time:      1730 |       1730 |               _socket
import time:       728 |        728 |               array
import time:      2249 |       4707 |             socket
import time:      2266 |       2266 |             socketserver
import time:      1056 |       1056 |               _datetime
import time:      1540 |       2596 |             datetime
import time:      1555 |       1555 |               http
import time:      1406 |       1406 |               copy
import time:       990 |        990 |                 email
import time:      1448 |       1448 |                     _bisect
import time:       884 |       2332 |                   bisect
import time:       895 |        895 |                   _random
import time:       698 |        698 |                   _sha2
import time:      1427 |       5350 |                 random
import time:      1118 |       1118 |                   urllib
import time:      2987 |       2987 |                   ipaddress
import time:      3243 |       7347 |                 urllib.parse
import time:       124 |        124 |                       _locale
import time:      2138 |       2261 |                     locale
import time:      2072 |       4332 |                   calendar
import time:      1716 |       6048 |                 email._parseaddr
import time:      1212 |       1212 |                         _struct
import time:      1088 |       2299 |                       struct
import time:      1684 |       1684 |                       binascii
import time:      1129 |       5110 |                     base64
import time:       758 |       5868 |                   email.base64mime
import time:       932 |        932 |                   email.quoprimime
import time:      1139 |       1139 |                   email.errors
import time:      1074 |       1074 |                     quopri
import time:       865 |       1939 |                   email.encoders
import time:      1129 |      11004 |                 email.charset
import time:      2162 |      32899 |               email.utils
import time:      2494 |       2494 |                 html.entities
import time:      1427 |       3921 |               html
import time:      1433 |       1433 |                       email.header
import time:       872 |       2304 |                     email._policybase
import time:      1762 |       4066 |                   email.feedparser
import time:      1027 |       5093 |                 email.parser
import time:      1043 |       1043 |                   email._encoded_words
import time:       706 |        706 |                   email.iterators
import time:      1490 |       3237 |                 email.message
